Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Jon Lester*,32,19,5,0.792,2.44,32,32,0,2,0,0,202.2,154,57,55,21,52,0,197,6,0,4,796,164,3.41,1.016,6.8,0.9,2.3,8.7,3.79
2,SP,Jake Arrieta,30,18,8,0.692,3.1,31,31,0,1,1,0,197.1,138,72,68,16,76,1,190,6,0,16,795,129,3.52,1.084,6.3,0.7,3.5,8.7,2.5
3,SP,Kyle Hendricks,26,16,8,0.667,2.13,31,30,0,2,1,0,190,142,53,45,15,44,3,170,8,0,5,745,188,3.2,0.979,6.7,0.7,2.1,8.1,3.86
4,SP,John Lackey,37,11,8,0.579,3.35,29,29,0,0,0,0,188.1,146,74,70,23,53,1,180,9,0,4,748,120,3.81,1.057,7,1.1,2.5,8.6,3.4
5,SP,Jason Hammel,33,15,10,0.6,3.83,30,30,0,0,0,0,166.2,148,77,71,25,53,0,144,9,0,9,692,105,4.48,1.206,8,1.4,2.9,7.8,2.72
6,CL,Hector Rondon,28,2,3,0.4,3.53,54,0,35,0,0,18,51,42,20,20,8,8,0,58,2,0,3,200,114,3.5,0.98,7.4,1.4,1.4,10.2,7.25
7,RP,Trevor Cahill,28,4,4,0.5,2.74,50,1,16,0,0,0,65.2,49,22,20,7,35,3,66,5,0,3,284,147,4.35,1.279,6.7,1,4.8,9,1.89
8,RP,Travis Wood*,29,4,0,1,2.95,77,0,16,0,0,0,61,45,24,20,8,24,2,47,1,0,0,252,137,4.54,1.131,6.6,1.2,3.5,6.9,1.96
9,RP,Justin Grimm,27,2,1,0.667,4.1,68,0,11,0,0,0,52.2,47,24,24,5,23,2,65,1,0,7,225,98,3.28,1.329,8,0.9,3.9,11.1,2.83
10,RP,Pedro Strop,31,2,2,0.5,2.85,54,0,8,0,0,0,47.1,27,16,15,4,15,1,60,4,0,7,187,142,2.91,0.887,5.1,0.8,2.9,11.4,4
11,,Mike Montgomery*,26,1,1,0.5,2.82,17,5,5,0,0,0,38.1,30,15,12,5,20,0,38,4,0,5,164,144,4.74,1.304,7,1.2,4.7,8.9,1.9
12,,Carl Edwards,24,0,1,0,3.75,36,0,10,0,0,2,36,15,15,15,4,14,1,52,0,0,5,138,108,2.87,0.806,3.8,1,3.5,13,3.71
13,,Adam Warren,28,3,2,0.6,5.91,29,1,4,0,0,0,35,31,24,23,7,19,4,27,0,0,0,152,68,5.83,1.429,8,1.8,4.9,6.9,1.42
14,,Aroldis Chapman*,28,1,1,0.5,1.01,28,0,23,0,0,16,26.2,12,4,3,0,10,0,46,0,0,6,102,401,0.82,0.825,4.1,0,3.4,15.5,4.6
15,,Spencer Patton,28,1,1,0.5,5.48,16,0,7,0,0,0,21.1,20,16,13,3,14,0,22,1,0,0,101,74,5.02,1.594,8.4,1.3,5.9,9.3,1.57
16,,Rob Zastryzny*,24,1,0,1,1.13,8,1,1,0,0,0,16,12,3,2,0,5,0,17,1,0,0,66,364,2.15,1.063,6.8,0,2.8,9.6,3.4
17,,Joe Smith,32,1,1,0.5,2.51,16,0,3,0,0,0,14.1,11,4,4,4,5,0,15,1,0,0,57,164,5.94,1.116,6.9,2.5,3.1,9.4,3
18,,Clayton Richard*,32,0,1,0,6.43,25,0,9,0,0,1,14,23,14,10,0,7,3,7,2,0,1,72,64,4.07,2.143,14.8,0,4.5,4.5,1
19,,Felix Pena,26,0,0,,4,11,0,2,0,0,1,9,5,4,4,1,3,1,13,0,0,1,35,104,2.7,0.889,5,1,3,13,4.33
20,,Neil Ramirez,27,0,0,,4.7,8,0,4,0,0,0,7.2,5,4,4,1,8,2,10,0,0,3,35,90,5.36,1.696,5.9,1.2,9.4,11.7,1.25
21,,Jake Buchanan,26,1,0,1,1.5,2,1,1,0,0,0,6,3,1,1,1,1,0,4,0,0,0,21,284,4.48,0.667,4.5,1.5,1.5,6,4
22,,Joel Peralta,40,0,1,0,9,5,0,0,0,0,0,4,6,5,4,2,1,0,5,1,0,0,19,49,8.65,1.75,13.5,4.5,2.3,11.3,5
23,,Brian Matusz*,29,0,0,,18,1,1,0,0,0,0,3,6,6,6,3,2,0,2,1,0,1,18,25,17.81,2.667,18,9,6,6,1
24,,Gerardo Concepcion*,24,0,0,,3.86,3,0,1,0,0,0,2.1,2,1,1,0,1,0,2,0,0,0,10,121,2.72,1.286,7.7,0,3.9,7.7,2
25,,Joe Nathan,41,1,0,1,0,3,0,0,0,0,0,2,2,0,0,0,2,0,4,0,0,0,10,,2.15,2,9,0,9,18,2
26,,Miguel Montero,32,0,0,,6.75,1,0,1,0,0,0,1.1,4,1,1,0,0,0,0,1,0,0,9,76,5.4,3,27,0,0,0,
,,Team Totals,30.3,103,58,0.64,3.15,162,162,157,5,2,38,1459.2,1125,556,511,163,495,24,1441,63,0,80,5933,128,3.77,1.11,6.9,1,3.1,8.9,2.91
,,Rank in 15 NL teams,,1,15,,1,,,,2,4,10,2,1,1,1,6,7,,3,,,,,,,,,,,,
